date,region,product,category,customer_type,quantity,price,sales,customer_rating,sales_category
2024-08-23,North,Mouse,Electronics,Returning,9,1259,8498.25,1,
2024-12-10,North,Phone,Electronics,New,2,178,263.44,3,medium
2024-02-18,West,Monitor,Accessories,New,2,1334,2214.44,1,very high
2024-02-28,East,Mouse,Electronics,Returning,6,564,2842.56,3,very high
2024-06-18,South,Phone,Accessories,New,9,498,3899.34,4,very high
2024-07-06,South,Keyboard,Accessories,New,1,1177,1059.3,4,very high
2024-09-27,North,Phone,Accessories,Returning,9,1297,10155.51,1,
2024-07-08,East,Mouse,Accessories,New,9,923,6396.39,1,
2024-06-23,South,Tablet,Accessories,Returning,9,522,3852.36,2,very high
2024-02-20,East,Tablet,Accessories,Returning,5,1083,3952.95,1,very high
2024-12-29,East,Tablet,Accessories,Returning,9,1478,11572.74,4,
2024-02-24,North,Mouse,Accessories,Returning,4,351,1151.2800000000002,1,very high
2024-08-31,South,Tablet,Electronics,New,2,280,453.6,1,medium
2024-11-15,West,Monitor,Electronics,Returning,6,972,4782.240000000001,2,very high
2024-05-10,North,Keyboard,Electronics,New,4,1139,3599.24,1,very high
2024-11-02,South,Phone,Electronics,New,6,986,5501.879999999999,3,
2024-05-14,South,Phone,Accessories,New,3,161,410.55,4,medium
2024-01-21,South,Mouse,Electronics,New,6,1086,6320.52,1,
2024-11-24,South,Tablet,Accessories,New,2,1466,2580.16,1,very high
2024-06-15,South,Tablet,Electronics,New,2,549,933.3,4,high
2024-09-30,East,Laptop,Electronics,New,9,981,7063.200000000001,2,
2024-03-29,North,Keyboard,Electronics,New,7,647,3215.59,4,very high
2024-11-11,East,Monitor,Accessories,New,3,283,696.1800000000001,4,high
2024-01-14,West,Phone,Electronics,New,1,651,507.78,3,high
2024-08-29,South,Laptop,Accessories,Returning,8,363,2468.4,2,very high
2024-09-21,North,Laptop,Accessories,Returning,6,615,2988.9,4,very high
2024-12-11,South,Mouse,Electronics,Returning,7,1085,7443.099999999999,4,
2024-02-22,North,Phone,Electronics,New,9,258,2136.24,2,very high
2024-12-05,East,Mouse,Electronics,Returning,5,1087,4837.15,3,very high
2024-04-01,North,Monitor,Accessories,Returning,1,1491,1282.26,2,very high
2024-09-20,West,Laptop,Electronics,Returning,7,1450,10048.5,2,
2024-02-04,West,Laptop,Accessories,New,5,1093,5246.4,3,
2024-07-24,North,Keyboard,Accessories,New,3,636,1755.36,4,very high
2024-03-21,North,Monitor,Electronics,New,9,1064,6798.96,3,
2024-02-19,North,Laptop,Electronics,New,1,1143,1028.7,1,very high
2024-12-25,North,Monitor,Accessories,Returning,1,1284,1104.24,3,very high
2024-01-02,West,Phone,Accessories,Returning,1,1174,1103.56,1,very high
2024-02-23,South,Tablet,Accessories,Returning,3,747,1837.62,3,very high
2024-04-15,North,Laptop,Electronics,Returning,6,181,999.12,4,high
2024-09-16,North,Keyboard,Accessories,New,3,1454,4100.28,2,very high
2024-11-05,West,Phone,Electronics,New,8,1205,8194.0,4,
2024-07-09,West,Monitor,Accessories,New,2,1093,2186.0,4,very high
2024-08-05,East,Mouse,Accessories,Returning,9,585,5265.0,4,
2024-02-13,North,Phone,Electronics,New,3,1063,2965.77,1,very high
2024-06-10,East,Laptop,Accessories,New,5,276,1366.2,1,very high
2024-07-20,West,Monitor,Electronics,Returning,8,1227,9521.52,2,
2024-09-26,West,Tablet,Electronics,Returning,2,871,1567.8,4,very high
2024-12-16,South,Phone,Accessories,New,6,920,4195.2,1,very high
2024-10-30,North,Laptop,Electronics,New,5,454,1884.1,2,very high
2024-09-27,East,Keyboard,Electronics,New,9,251,1920.15,2,very high
2024-08-02,West,Mouse,Accessories,New,5,87,395.85,1,medium
2024-09-08,West,Monitor,Electronics,New,2,991,1427.04,2,very high
2024-07-08,East,Phone,Electronics,New,5,237,1042.8,2,very high
2024-10-22,South,Phone,Electronics,Returning,4,1130,4384.4,3,very high
2024-07-31,West,Tablet,Accessories,Returning,7,990,5613.3,4,
2024-07-26,North,Tablet,Electronics,Returning,6,1093,6361.26,3,
2024-08-24,West,Keyboard,Accessories,New,2,322,579.6,4,high
2024-12-03,North,Mouse,Accessories,Returning,5,1192,5066.0,2,
2024-02-22,East,Keyboard,Electronics,New,7,632,3273.76,2,very high
2024-10-06,North,Laptop,Electronics,New,7,565,3361.75,3,very high
2024-08-04,East,Laptop,Electronics,Returning,5,1294,5111.3,2,
2024-09-08,North,Keyboard,Accessories,New,9,575,3622.5,4,very high
2024-07-06,East,Mouse,Electronics,New,4,385,1478.4,1,very high
2024-02-10,North,Keyboard,Electronics,Returning,3,747,2061.7200000000003,1,very high
2024-06-05,South,Mouse,Electronics,Returning,4,1128,3970.56,2,very high
2024-01-15,North,Mouse,Electronics,Returning,5,549,2388.15,1,very high
2024-10-27,North,Monitor,Electronics,New,6,949,5010.72,4,
2024-03-05,South,Mouse,Accessories,Returning,3,815,1784.85,1,very high
2024-12-10,West,Tablet,Accessories,Returning,2,585,924.3,4,high
2024-11-22,West,Mouse,Electronics,New,4,211,692.08,2,high
2024-01-09,North,Mouse,Electronics,Returning,5,643,2925.65,4,very high
2024-12-09,South,Mouse,Electronics,Returning,4,208,624.0,1,high
2024-05-08,North,Laptop,Electronics,Returning,3,1261,2685.93,3,very high
2024-05-15,East,Tablet,Accessories,New,8,109,654.0,2,high
2024-03-03,East,Tablet,Electronics,New,4,964,3856.0,1,very high
2024-05-18,North,Keyboard,Accessories,New,2,1392,2255.04,4,very high
2024-03-21,West,Monitor,Accessories,New,2,260,509.6,4,high
2024-06-11,West,Mouse,Electronics,Returning,1,455,418.6,2,medium
2024-10-15,North,Phone,Accessories,New,4,713,2794.96,1,very high
2024-09-17,North,Monitor,Accessories,New,9,1182,8723.16,2,
2024-08-18,East,Monitor,Accessories,Returning,7,1149,6353.97,2,
2024-02-10,West,Tablet,Accessories,Returning,7,591,4012.89,1,very high
2024-01-28,North,Monitor,Electronics,Returning,7,1387,8543.92,1,
2024-05-14,East,Mouse,Electronics,New,8,1047,7203.36,2,
2024-07-19,West,Mouse,Accessories,New,1,1190,1059.1,3,very high
2024-11-23,South,Laptop,Electronics,New,8,976,7495.679999999999,4,
2024-09-24,East,Mouse,Electronics,Returning,4,917,3191.16,1,very high
2024-02-02,West,Mouse,Electronics,Returning,4,68,209.44,3,medium
2024-02-17,West,Tablet,Electronics,New,4,481,1885.52,4,very high
2024-03-02,East,Mouse,Electronics,Returning,6,789,4639.32,3,very high
2024-08-03,South,Laptop,Accessories,Returning,7,1423,8865.29,1,
2024-10-19,East,Phone,Electronics,Returning,6,232,1002.24,4,very high
2024-04-08,West,Tablet,Electronics,New,1,162,129.6,4,medium
2024-06-20,North,Phone,Electronics,Returning,8,1256,8038.400000000001,3,
2024-12-25,North,Tablet,Electronics,Returning,7,530,3301.9,1,very high
2024-08-01,East,Keyboard,Accessories,New,6,1219,5997.4800000000005,1,
2024-02-04,West,Monitor,Accessories,New,6,880,5280.0,1,
2024-08-14,North,Keyboard,Accessories,Returning,5,1186,4803.3,2,very high
2024-04-10,West,Mouse,Accessories,Returning,6,812,3556.56,2,very high
2024-05-10,East,Phone,Electronics,New,9,525,3874.500000000001,4,very high
2024-09-13,North,Mouse,Accessories,New,9,812,5407.92,3,
2024-01-05,West,Monitor,Electronics,Returning,8,1376,8586.24,3,
2024-08-05,North,Tablet,Electronics,Returning,9,1020,8812.8,3,
2024-09-11,East,Monitor,Electronics,Returning,8,1069,6242.96,2,
2024-12-24,West,Laptop,Electronics,Returning,8,1191,9337.44,2,
2024-10-09,North,Monitor,Electronics,New,1,210,176.4,1,medium
2024-07-25,East,Laptop,Accessories,Returning,5,450,2160.0,1,very high
2024-01-15,North,Monitor,Accessories,Returning,4,247,988.0,2,high
2024-12-11,North,Laptop,Accessories,New,2,1333,2319.42,1,very high
2024-02-11,South,Phone,Accessories,Returning,8,709,5161.52,1,
2024-06-27,South,Mouse,Electronics,New,3,1120,2856.0,2,very high
2024-03-03,East,Mouse,Accessories,Returning,4,448,1487.36,4,very high
2024-12-17,South,Keyboard,Electronics,Returning,7,127,880.11,1,high
2024-08-18,East,Mouse,Accessories,New,9,173,1494.72,1,very high
2024-08-28,South,Tablet,Electronics,New,2,124,205.84,2,medium
2024-02-21,North,Monitor,Electronics,Returning,3,186,502.2,4,high
2024-04-05,East,Keyboard,Accessories,Returning,4,651,2031.12,3,very high
2024-08-09,East,Tablet,Electronics,Returning,1,1473,1178.4,3,very high
2024-08-18,North,Tablet,Electronics,New,7,886,4651.5,4,very high
2024-08-24,East,Laptop,Accessories,Returning,2,549,867.4200000000001,4,high
2024-05-22,East,Mouse,Electronics,New,5,187,813.45,3,high
2024-06-19,South,Phone,Accessories,New,1,99,79.2,2,low
2024-01-29,East,Phone,Accessories,Returning,3,1022,2820.7200000000003,4,very high
2024-02-05,West,Keyboard,Accessories,New,2,303,551.46,3,high
2024-01-13,North,Phone,Electronics,Returning,1,759,576.84,1,high
2024-06-08,South,Monitor,Electronics,Returning,7,612,3727.08,2,very high
2024-11-22,South,Phone,Electronics,Returning,5,806,3062.8,4,very high
2024-07-05,West,Keyboard,Accessories,Returning,1,1499,1124.25,1,very high
2024-08-30,North,Phone,Electronics,Returning,6,596,2646.24,4,very high
2024-03-26,North,Monitor,Accessories,New,5,1375,5018.75,1,
2024-10-10,South,Laptop,Accessories,New,3,971,2534.31,3,very high
2024-03-06,East,Keyboard,Electronics,Returning,7,630,3969.0,4,very high
2024-06-18,South,Laptop,Accessories,Returning,9,1422,10622.34,3,
2024-02-14,North,Laptop,Electronics,New,9,98,784.98,4,high
2024-03-02,West,Laptop,Electronics,New,9,966,7129.080000000001,1,
2024-05-13,South,Tablet,Electronics,New,2,1147,1812.26,3,very high
2024-10-10,North,Mouse,Electronics,New,3,753,1784.61,2,very high
2024-01-28,South,Tablet,Electronics,Returning,7,310,1931.3,3,very high
2024-04-17,East,Mouse,Accessories,Returning,5,405,1923.75,3,very high
2024-02-13,South,Laptop,Accessories,New,2,1333,2319.42,2,very high
2024-12-05,South,Keyboard,Accessories,Returning,3,687,1978.56,2,very high
2024-10-12,North,Mouse,Electronics,New,6,792,3468.96,4,very high
2024-11-26,North,Monitor,Electronics,Returning,7,1368,8618.4,2,
2024-05-07,North,Monitor,Electronics,New,9,1059,9054.45,3,
2024-12-13,South,Phone,Accessories,Returning,1,980,970.2,3,high
2024-08-18,East,Mouse,Electronics,New,7,690,3912.3,3,very high
2024-07-08,West,Keyboard,Accessories,New,8,841,5449.68,4,
2024-08-12,West,Tablet,Accessories,Returning,3,1386,3742.2,4,very high
2024-10-09,North,Laptop,Electronics,New,4,661,2591.12,1,very high
2024-04-30,North,Phone,Electronics,Returning,6,858,4530.24,3,very high
2024-04-25,South,Monitor,Accessories,Returning,7,1255,7994.35,2,
2024-08-20,West,Tablet,Electronics,New,4,735,2352.0,1,very high
2024-09-15,North,Tablet,Accessories,Returning,8,1437,9426.72,4,
2024-12-24,East,Laptop,Electronics,Returning,5,237,1054.65,1,very high
2024-07-16,East,Mouse,Electronics,Returning,1,1034,961.62,1,high
2024-05-16,North,Monitor,Accessories,Returning,4,597,1671.6,4,very high
2024-11-13,North,Keyboard,Electronics,Returning,3,774,1996.92,1,very high
2024-06-13,West,Tablet,Accessories,New,9,975,6932.25,1,
2024-08-12,West,Laptop,Electronics,Returning,8,1481,11374.08,4,
2024-11-02,South,Keyboard,Accessories,Returning,1,925,786.25,2,high
2024-08-21,West,Mouse,Accessories,Returning,6,667,3961.98,1,very high
2024-06-20,East,Monitor,Electronics,Returning,9,463,3541.95,3,very high
2024-05-31,East,Mouse,Accessories,Returning,7,1415,7032.549999999999,3,
2024-11-10,North,Tablet,Electronics,New,4,1293,4551.36,4,very high
2024-06-08,West,Keyboard,Electronics,Returning,1,952,942.48,1,high
2024-04-05,South,Keyboard,Electronics,New,2,212,419.76,1,medium
2024-08-20,East,Keyboard,Accessories,New,5,1293,5689.2,2,
2024-06-28,East,Tablet,Accessories,New,5,319,1515.25,1,very high
2024-04-22,South,Tablet,Electronics,New,8,681,5393.52,3,
2024-11-13,South,Mouse,Electronics,Returning,6,955,4412.1,1,very high
2024-02-21,East,Phone,Accessories,New,8,1473,10134.24,1,
2024-09-24,East,Mouse,Electronics,New,2,1255,2284.1,3,very high
2024-10-21,South,Monitor,Electronics,Returning,3,254,556.26,2,high
2024-04-22,East,Laptop,Accessories,Returning,6,631,3672.42,4,very high
2024-04-10,North,Keyboard,Electronics,Returning,3,890,1895.7,2,very high
2024-04-22,North,Phone,Accessories,New,6,1301,7103.46,2,
2024-03-21,South,Laptop,Electronics,Returning,6,645,2825.1,1,very high
2024-07-05,West,Phone,Accessories,Returning,2,299,490.36,4,medium
2024-04-22,South,Mouse,Electronics,New,7,924,4851.0,2,very high
2024-01-02,South,Tablet,Electronics,Returning,2,245,343.0,1,medium
2024-05-09,West,Keyboard,Accessories,Returning,6,739,4034.94,3,very high
2024-08-07,West,Mouse,Electronics,Returning,1,1143,811.53,4,high
2024-02-23,West,Laptop,Accessories,Returning,3,688,1816.32,1,very high
2024-12-08,North,Laptop,Electronics,New,2,1472,2590.72,2,very high
2024-08-11,East,Laptop,Accessories,Returning,7,721,4542.3,2,very high
2024-08-12,North,Laptop,Accessories,Returning,4,1276,4287.36,2,very high
2024-05-05,East,Laptop,Accessories,New,8,1221,9279.6,1,
2024-05-09,North,Phone,Accessories,Returning,6,993,4945.139999999999,2,very high
2024-02-22,East,Mouse,Electronics,New,4,248,833.28,4,high
2024-06-20,North,Keyboard,Electronics,Returning,5,1499,5771.150000000001,1,
2024-08-05,West,Tablet,Accessories,New,9,541,3651.75,3,very high
2024-06-08,South,Tablet,Accessories,New,7,945,5755.05,4,
2024-07-16,North,Mouse,Accessories,New,9,191,1564.29,1,very high
2024-09-03,East,Mouse,Electronics,New,7,1386,8925.84,4,
2024-11-19,West,Tablet,Electronics,Returning,1,214,201.16,3,medium
2024-07-21,North,Tablet,Electronics,New,8,363,2845.92,3,very high
2024-07-02,North,Phone,Electronics,Returning,4,70,252.0,3,medium
2024-05-02,West,Monitor,Accessories,New,3,1155,3187.8,2,very high
2024-09-11,North,Keyboard,Accessories,New,7,1204,5983.88,4,
2024-10-20,South,Laptop,Accessories,New,3,1033,2572.17,4,very high
2024-10-06,North,Monitor,Electronics,Returning,8,354,2548.8,1,very high
2024-11-20,South,Mouse,Electronics,New,6,420,2091.6,1,very high
2024-04-07,South,Tablet,Electronics,Returning,5,902,4329.599999999999,1,very high
2024-07-16,West,Monitor,Accessories,Returning,4,433,1506.84,4,very high
2024-08-27,North,Keyboard,Accessories,Returning,8,494,3201.1200000000003,3,very high
2024-05-23,West,Mouse,Electronics,Returning,8,474,3223.2,4,very high
2024-04-06,North,Laptop,Accessories,Returning,1,210,184.8,3,medium
2024-07-19,North,Laptop,Electronics,Returning,9,1251,7881.299999999999,3,
2024-05-03,East,Keyboard,Electronics,Returning,5,678,2508.6,2,very high
2024-07-05,North,Keyboard,Accessories,Returning,4,944,3058.5600000000004,2,very high
2024-11-21,West,Tablet,Electronics,Returning,6,539,2684.22,4,very high
2024-12-14,South,Laptop,Accessories,New,6,1066,5180.76,4,
2024-09-15,North,Mouse,Electronics,New,2,376,706.88,1,high
2024-05-27,East,Monitor,Accessories,New,8,647,4554.88,2,very high
2024-09-08,West,Mouse,Accessories,New,7,1064,7373.519999999999,1,
2024-12-11,North,Phone,Accessories,New,1,338,290.68,3,medium
2024-05-26,West,Phone,Electronics,Returning,5,642,2696.4,1,very high
2024-05-27,East,Keyboard,Electronics,Returning,6,622,3470.76,3,very high
2024-12-17,East,Tablet,Accessories,Returning,4,1427,4052.68,1,very high
2024-07-17,West,Phone,Accessories,Returning,2,77,112.42,2,medium
2024-11-03,North,Laptop,Electronics,Returning,4,1003,3129.36,2,very high
2024-05-07,South,Mouse,Electronics,Returning,1,92,77.28,4,low
2024-02-08,East,Mouse,Electronics,Returning,7,472,2444.96,1,very high
2024-12-03,North,Keyboard,Accessories,New,2,226,433.92,2,medium
2024-12-25,North,Monitor,Electronics,New,2,578,878.5600000000001,3,high
2024-05-08,South,Keyboard,Electronics,New,9,1015,8769.6,4,
2024-09-23,East,Monitor,Accessories,New,5,247,938.6,4,high
2024-05-30,East,Keyboard,Electronics,Returning,2,659,1212.56,2,very high
2024-10-24,North,Keyboard,Electronics,Returning,9,891,5934.06,2,
2024-04-08,North,Keyboard,Electronics,Returning,9,902,5844.96,3,
2024-09-19,South,Monitor,Accessories,New,1,71,68.16,3,low
2024-09-08,South,Monitor,Accessories,Returning,3,1185,3057.3,3,very high
2024-05-23,East,Keyboard,Accessories,Returning,4,1130,3209.2,2,very high
2024-12-11,West,Phone,Accessories,Returning,7,1139,6777.05,1,
2024-04-21,East,Tablet,Accessories,New,4,891,2637.36,3,very high
2024-02-29,North,Tablet,Accessories,Returning,2,147,241.08,2,medium
2024-01-02,East,Tablet,Accessories,New,7,1217,7581.91,4,
2024-10-30,West,Monitor,Electronics,New,6,484,2642.64,1,very high
2024-09-10,South,Monitor,Electronics,New,3,686,1934.52,4,very high
2024-05-19,West,Phone,Accessories,New,6,1159,5354.58,3,
2024-02-06,West,Tablet,Electronics,Returning,6,637,3363.36,4,very high
2024-06-08,West,Tablet,Electronics,New,5,393,1670.25,4,very high
2024-01-09,South,Keyboard,Accessories,New,4,1367,4647.8,2,very high
2024-08-20,West,Monitor,Electronics,Returning,1,620,514.6,3,high
2024-04-08,West,Tablet,Electronics,Returning,6,660,2930.4,3,very high
2024-05-26,West,Mouse,Electronics,New,2,292,414.64,2,medium
2024-10-30,North,Phone,Electronics,Returning,3,610,1610.4,2,very high
2024-07-26,West,Mouse,Electronics,New,8,1009,6054.0,2,
2024-05-10,South,Mouse,Accessories,New,6,81,374.22,1,medium
2024-05-31,West,Phone,Accessories,New,3,440,1095.6,2,very high
2024-02-23,West,Mouse,Accessories,New,7,326,1620.22,4,very high
2024-04-29,South,Tablet,Electronics,Returning,4,581,2184.56,4,very high
2024-06-09,West,Monitor,Accessories,New,9,1227,10711.71,3,
2024-04-25,South,Phone,Electronics,Returning,5,432,1598.4,4,very high
2024-03-15,West,Keyboard,Electronics,Returning,3,1141,2978.01,4,very high
2024-04-22,South,Mouse,Electronics,Returning,2,933,1399.5,4,very high
2024-04-13,West,Phone,Electronics,Returning,2,263,383.98,3,medium
2024-12-05,West,Laptop,Accessories,New,3,425,1249.5,2,very high
2024-09-10,North,Laptop,Accessories,Returning,2,793,1157.78,4,very high
2024-08-14,North,Monitor,Electronics,New,4,262,911.76,1,high
2024-04-21,West,Tablet,Accessories,Returning,2,128,217.6,3,medium
2024-04-08,West,Monitor,Electronics,Returning,9,677,4935.33,4,very high
2024-06-01,East,Monitor,Accessories,New,2,653,940.32,4,high
2024-12-14,South,Monitor,Accessories,New,9,831,7404.21,1,
2024-12-03,East,Monitor,Electronics,New,6,1454,7502.64,1,
2024-07-12,North,Keyboard,Accessories,Returning,1,1050,829.5,1,high
2024-11-05,North,Keyboard,Electronics,Returning,4,729,2274.48,4,very high
2024-06-11,North,Phone,Accessories,New,1,107,84.53,3,low
2024-07-26,North,Laptop,Electronics,New,6,1099,6330.24,3,
2024-06-17,West,Monitor,Electronics,New,4,930,3385.2000000000003,2,very high
2024-06-09,North,Phone,Accessories,New,3,496,1324.32,1,very high
2024-03-08,West,Laptop,Accessories,Returning,3,115,262.2,4,medium
2024-10-15,West,Mouse,Electronics,New,9,1327,10987.56,2,
2024-10-03,North,Tablet,Accessories,New,6,1117,6299.879999999999,3,
2024-10-30,North,Keyboard,Accessories,New,9,1170,7476.299999999999,2,
2024-05-14,South,Mouse,Electronics,New,5,1061,5305.0,3,
2024-07-13,East,Laptop,Electronics,Returning,2,276,386.4,1,medium
2024-05-07,North,Mouse,Accessories,New,8,823,5267.200000000001,4,
2024-02-02,South,Tablet,Electronics,Returning,5,728,2730.0,3,very high
2024-06-24,South,Laptop,Electronics,New,2,650,1183.0,2,very high
2024-01-22,East,Mouse,Electronics,New,4,428,1712.0,4,very high
2024-08-25,West,Keyboard,Accessories,Returning,9,1251,8782.02,3,
2024-06-06,North,Keyboard,Accessories,New,4,758,2274.0,2,very high
2024-02-07,East,Phone,Electronics,Returning,4,356,1110.72,3,very high
2024-08-17,North,Mouse,Accessories,Returning,2,828,1589.76,3,very high
2024-12-30,South,Monitor,Electronics,New,6,553,2554.86,1,very high
2024-02-20,South,Mouse,Accessories,Returning,2,317,488.18,2,medium
2024-09-20,West,Laptop,Electronics,Returning,7,57,319.20000000000005,2,medium
2024-10-09,South,Laptop,Electronics,Returning,3,557,1286.67,4,very high
2024-01-27,South,Mouse,Accessories,Returning,3,525,1181.25,3,very high
2024-08-13,East,Tablet,Electronics,Returning,5,1370,5617.0,1,
2024-10-03,North,Keyboard,Accessories,Returning,3,213,619.8299999999999,4,high
2024-10-12,North,Laptop,Accessories,Returning,2,534,907.8,2,high
2024-04-06,East,Keyboard,Electronics,Returning,9,1145,10098.9,3,
2024-10-10,West,Laptop,Electronics,New,2,616,1084.16,2,very high
2024-11-12,North,Phone,Accessories,New,2,954,1679.04,4,very high
2024-10-30,South,Monitor,Electronics,Returning,8,608,4766.72,2,very high
2024-05-26,North,Laptop,Electronics,New,9,287,2324.7000000000003,1,very high
2024-01-04,South,Keyboard,Electronics,Returning,7,1177,7991.83,3,
2024-02-04,West,Phone,Electronics,Returning,3,1283,2925.24,1,very high
2024-07-10,East,Laptop,Electronics,New,9,603,3907.44,1,very high
2024-02-18,North,Tablet,Accessories,Returning,3,877,2578.38,3,very high
2024-01-17,East,Monitor,Accessories,Returning,5,517,1835.35,2,very high
2024-06-20,North,Laptop,Electronics,Returning,9,1341,10137.96,1,
2024-08-07,South,Phone,Electronics,Returning,3,435,1187.55,1,very high
2024-06-06,East,Tablet,Electronics,New,7,824,5652.64,3,
2024-02-15,North,Mouse,Accessories,Returning,1,897,762.4499999999999,1,high
2024-01-06,South,Phone,Electronics,Returning,4,436,1325.44,3,very high
2024-04-08,East,Phone,Accessories,Returning,4,926,2926.1600000000003,3,very high
2024-08-20,East,Tablet,Accessories,New,7,308,2112.88,1,very high
2024-02-06,North,Phone,Accessories,Returning,8,332,2602.88,3,very high
2024-10-06,North,Tablet,Electronics,New,1,89,78.32000000000001,3,low
2024-12-14,North,Laptop,Accessories,New,5,535,2434.25,3,very high
2024-10-28,South,Tablet,Electronics,Returning,7,978,6366.78,2,
2024-06-29,North,Tablet,Accessories,Returning,4,269,989.92,1,high
2024-04-04,East,Monitor,Electronics,New,4,1202,3654.08,2,very high
2024-04-08,East,Tablet,Accessories,Returning,4,1064,3064.32,4,very high
2024-07-06,North,Tablet,Electronics,New,6,1073,5665.44,2,
2024-04-25,North,Mouse,Accessories,New,7,662,3382.82,1,very high
2024-07-09,West,Laptop,Electronics,Returning,2,977,1758.6,4,very high
2024-09-09,East,Monitor,Electronics,Returning,5,737,3169.1,4,very high
2024-06-09,South,Mouse,Electronics,New,4,662,2462.64,2,very high
2024-09-12,West,Keyboard,Electronics,New,3,309,750.87,2,high
2024-11-18,North,Laptop,Accessories,New,7,1039,5163.83,3,
2024-05-07,North,Laptop,Accessories,New,6,1015,4993.8,4,very high
2024-01-18,East,Keyboard,Electronics,Returning,7,415,2585.45,1,very high
2024-10-07,North,Tablet,Accessories,Returning,5,593,2401.65,4,very high
2024-08-10,South,Mouse,Electronics,Returning,6,698,4020.48,2,very high
2024-02-23,East,Phone,Electronics,Returning,5,863,3149.95,3,very high
2024-02-27,North,Monitor,Accessories,Returning,7,1089,6479.55,4,
2024-11-18,East,Phone,Electronics,New,2,1202,2091.48,2,very high
2024-12-25,North,Keyboard,Electronics,Returning,5,624,2558.4,3,very high
2024-06-22,North,Laptop,Accessories,Returning,6,1182,5744.52,3,
2024-10-06,North,Laptop,Electronics,Returning,6,1062,6244.56,2,
2024-04-23,South,Monitor,Electronics,Returning,5,719,2876.0,2,very high
2024-10-14,South,Laptop,Electronics,Returning,7,318,2070.18,4,very high
2024-12-07,East,Laptop,Electronics,New,8,1235,7805.200000000001,4,
2024-05-30,North,Monitor,Accessories,New,7,1333,6998.25,3,
2024-05-06,North,Mouse,Accessories,New,5,973,3697.4,1,very high
2024-06-03,South,Mouse,Accessories,Returning,1,1175,975.25,4,high
2024-09-29,North,Monitor,Electronics,New,5,296,1243.2,4,very high
2024-04-13,South,Keyboard,Electronics,New,2,180,345.6,4,medium
2024-10-25,North,Laptop,Accessories,Returning,5,402,1547.7,2,very high
2024-09-02,East,Laptop,Electronics,Returning,5,245,1127.0,2,very high
2024-06-24,North,Keyboard,Electronics,Returning,2,979,1664.3,2,very high
2024-02-08,North,Mouse,Electronics,New,5,1455,6620.25,2,
2024-06-18,West,Tablet,Electronics,New,4,1071,4112.639999999999,1,very high
2024-09-03,South,Tablet,Accessories,Returning,1,694,562.14,2,high
2024-01-26,North,Tablet,Accessories,Returning,3,276,811.4399999999999,2,high
2024-12-20,North,Mouse,Accessories,New,1,750,585.0,1,high
2024-11-01,West,Mouse,Electronics,New,5,314,1413.0,2,very high
2024-01-13,West,Keyboard,Accessories,Returning,4,1445,5780.0,3,
2024-11-11,South,Laptop,Accessories,Returning,7,695,4135.25,4,very high
2024-11-08,West,Keyboard,Electronics,New,5,260,1287.0,1,very high
2024-02-05,East,Keyboard,Electronics,Returning,4,1450,5336.0,1,
2024-06-21,West,Mouse,Accessories,New,2,1468,2319.44,4,very high
2024-01-20,East,Tablet,Accessories,New,4,992,3888.64,3,very high
2024-11-16,South,Phone,Accessories,New,2,1437,2155.5,2,very high
2024-09-20,South,Laptop,Accessories,New,8,506,4048.0,3,very high
2024-05-21,South,Mouse,Electronics,Returning,3,774,2159.46,1,very high
2024-05-22,South,Tablet,Accessories,Returning,9,1299,9118.98,4,
